"talkid";"title";"type";"description";"skill";"from";"to";"room";"fromIso";"toIso"
"7872c5cebf3f72742740ea4686910cc9";"Running Enterprise Kubernetes w/Tectonic";"Workshop";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.Running Kubernetes in an enterprise production environment requires a in-depth technical knowledge of Kubernetes and the relevant tools you need to keep your applications running properly. This hands-on workshop will introduce the audience to CoreOS Tectonic for running enterprise Kubernetes. CoreOS Tectonic includes an easy to use dashboard that provides access and insights into the many components of your stack.  We will go over the following topics:  

Tectonic Overview 
Installing Tectonic 
Exploring the Tectonic Console 
Understanding the Tectonic Architecture 
Self-Hosted Kubernetes 
Security and Identity Monitoring 
Auto Updates 
The Future of Tectonic";;"Monday December  4, 2017  9:00am";"Monday December  4, 2017   12:00pm";"Meeting Room 7, Level 3";"2017-12-04T09:00:00";"2017-12-04T12:00:00"
"014f1202f5bd7caf4cac66aea33d64dd";"Co-Located Event Registration";"Registration + Breaks";;;"Monday December  4, 2017 12:00pm";"Monday December  4, 2017 1 5:00pm";"Palazzo, Level 1";"2017-12-04T12:00:00";"2017-12-04T13:05:00"
"b6e4ab3a4d1822605534aca3a758f5b1";"Running Enterprise Kubernetes w/Tectonic";"Workshop";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.Running Kubernetes in an enterprise production environment requires a in-depth technical knowledge of Kubernetes and the relevant tools you need to keep your applications running properly. This hands-on workshop will introduce the audience to CoreOS Tectonic for running enterprise Kubernetes. CoreOS Tectonic includes an easy to use dashboard that provides access and insights into the many components of your stack. We will go over the following topics:  

Tectonic Overview 
Installing Tectonic 
Exploring the Tectonic Console 
Understanding the Tectonic Architecture 
Self-Hosted Kubernetes 
Security and Identity Monitoring 
Auto Updates 
The Future of Tectonic";;"Monday December  4, 2017  1:00pm";"Monday December  4, 2017   4:00pm";"Meeting Room 7, Level 3";"2017-12-04T13:00:00";"2017-12-04T16:00:00"
"dddd5e07d64d497341c8c35508d64680";"Introduction to Kubernetes and Containers w/Heptio";"Trainings";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.
About: In this half day instructor-led course you will learn the fundamentals of container-based distributed systems, including an overview of the architecture and building blocks of Kubernetes and containers. 
This course is delivered in an intimate setting with a ~10:1 student to teacher ratio, so you can get the help you need.
In addition to learning from our Kubernetes experts, you will have the opportunity to: 

Meet Kubernetes creators Craig McLuckie (CEO) and Joe Beda (CTO) and our other Kubernetes committers for a Q&A session after each class
Get a copy of ""Kubernetes: Up and Running"" signed by Joe Beda
Join us for happy hour

Course topics include: 

Introduction
The Motivation for Containers
The Motivation for Kubernetes
Containers Fundamentals
Kubernetes Fundamentals
Kubernetes in Action
Conclusion
Two hands-on excercises:  

Build container images and publish them to a registry.
Deploy services using Kubernetes.";;"Monday December  4, 2017  1:00pm";"Monday December  4, 2017   5:00pm";"Meeting Room 8C, Level 3";"2017-12-04T13:00:00";"2017-12-04T17:00:00"
"6aa6198fec24fdcfd26af34dfc1e839d";"Co-Located Event Registration";"Registration + Breaks";;;"Tuesday December  5, 2017  7:00am";"Tuesday December  5, 2017   2:00pm";"Palazzo, Level 1";"2017-12-05T07:00:00";"2017-12-05T14:00:00"
"49d03139f7dad327bd0a3634bd86c431";"Building a Secure, Production Grade Kubernetes with Ubuntu";"Workshop";"In this workshop you'll dive into containers, how they're composed, and their uses. From there you'll stand up a Kubernetes deployment in a cloud or on your local laptop. We'll then dive in to how containers can be managed on platforms like Kubernetes and common workflows for container deployments. Finally, you'll learn about today's security best practices - from building and delivering containers to securing and hardening Kubernetes.
But the end of this workshop, you'll be able to identify the differences in container types, how to setup a secure Kubernetes installation, and the vocabulary + common workflows for running containers on Kubernetes
Prerequisites: Attendees will need to bring a laptop. Temporary cloud credentials will be provided for deployment sections of the workshop. Knowledge of basic Kubernetes components and objects suggested.";;"Tuesday December  5, 2017  8:00am";"Tuesday December  5, 2017   11:00am";"Meeting Room 10B, Level 3";"2017-12-05T08:00:00";"2017-12-05T11:00:00"
"85fcf8fc24d9908ba34226117a8b102c";"Contributor Summit";"Mini Summit";"By Invitation Only. Badges can be picked up at main registration on Tuesday at 7am on Level 1. General session will be in Meeting Room 5 on Level 3. More information can be found here. Contributor Summit Sponsors:";;"Tuesday December  5, 2017  8:00am";"Tuesday December  5, 2017   4:30pm";"Meeting Room 5ABC, Level 3";"2017-12-05T08:00:00";"2017-12-05T16:30:00"
"0ef8f52dcf9549aaefed5198f432c149";"Kubernetes Core Concepts Live Training w/Bitnami";"Trainings";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.
About: This one day course serves as a crash course to learn the basics of Kubernetes right before KubeCon NA. You will discover the Kubernetes architecture and how to install it. You will then learn how to use its basic primitives (i.e pods, deployments and services) to build your own distributed application. The course will be a mix of lectures, demos and hands-on exercises.
This training course is for you because...

You're an administrator and want to understand the overall architecture of a Kubernetes cluster
You're an administrator and want to understand how to install Kubernetes yourself
You’re an application developer and want to understand the basic primitives of a Kubernetes application
You’re an application developer and want to learn the usage of `kubectl` to interact with your Kubernetes cluster and applications
You’re an application developer and want to understand how to use your Docker images in a Kubernetes cluster";"Beginner";"Tuesday December  5, 2017  8:30am";"Tuesday December  5, 2017   5:00pm";"Meeting Room 1, Level 1";"2017-12-05T08:30:00";"2017-12-05T17:00:00"
"d57449959338d80e5b38fe764b1bf2ab";"Kubernetes: Enterprise Logging Workshop";"Workshop";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.Kubernetes provide a powerful abstraction for you to run microservices anywhere and scale to any size. Monitoring a Kubernetes cluster can be challenging specifically when dealing with Logging.
The Kubernetes Enterprise Logging workshop is a full hands-on session where you will learn the basics of Logging, how to implement an unified logging layer in your cluster focusing on an end-to-end solution ready for production. 
Workshop Outline: 

Introduction to Logging
Logging and Microservices
Fluentd and Fluentd Enterprise
Kubernetes: collecting and enrich logs with metadata
Enterprise Logging:    

Performance and optimizations
Buffering mechanisms
Logs routing
Elasticsearch
Apache Kafka
Splunk";;"Tuesday December  5, 2017  8:45am";"Tuesday December  5, 2017   12:45pm";"Meeting Room 8AB, Level 3";"2017-12-05T08:45:00";"2017-12-05T12:45:00"
"109b73a4e182ae3a6e5fc71d6eadd355";"Running Enterprise Kubernetes w/Tectonic";"Workshop";"Registration: Add this training on your KubeCon + CloudNativeCon North America conference registration here. If you are already registered for KubeCon + CloudNativeCon North America 2017, modify your registration to add the training or email us at events {at} cncf {dot} io.Running Kubernetes in an enterprise production environment requires a in-depth technical knowledge of Kubernetes and the relevant tools you need to keep your applications running properly. This hands-on workshop will introduce the audience to CoreOS Tectonic for running enterprise Kubernetes. CoreOS Tectonic includes an easy to use dashboard that provides access and insights into the many components of your stack. We will go over the following topics:  

Tectonic Overview 
Installing Tectonic 
Exploring the Tectonic Console 
Understanding the Tectonic Architecture 
Self-Hosted Kubernetes 
Security and Identity Monitoring 
Auto Updates 
The Future of Tectonic";;"Tuesday December  5, 2017  9:00am";"Tuesday December  5, 2017   12:00pm";"Meeting Room 7, Level 3";"2017-12-05T09:00:00";"2017-12-05T12:00:00"
